Network;Species;Group;Kingdom;Phylum;Class;Order;Family;Genus;BodyWeight;FeedingMode;MetabolicCategory;TrophicLevel;FeedingType;Mobility;Environment;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R12;R13;R14;R15;R16;R17;R18;R19;R20;R21;R22;R23;R24;R25;R26;R27;R28;R29;R30;Vulnerability;Generality
kongsfjorden;Turnerella pennyi;B;Plantae;Rhodophyta;Rhodophyceae;Gigartinales;Solieriaceae;Turnerella;0.28;"primaryproducer";"primaryproducer";1;"primaryproducer";1;"benthic";0;314;0;36;0;0;0;0;0;102;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0
kongsfjorden;Fimbrifolium dichotomum;B;Plantae;Rhodophyta;Florideophyceae;Gigartinales;Cystocloniaceae;Fimbrifolium;0.28;"primaryproducer";"primaryproducer";1;"primaryproducer";1;"benthic";0;314;0;36;0;0;0;0;0;102;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0
kongsfjorden;Boremysis arctica;I;Animalia;Arthropoda;Malacostraca;Mysida;Mysidae;Boreomysis;0.03;"predator";"invertebrate";2;"herbivorous";4;"pelagic";0;95;0;8;3;1;0;0;168;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1
kongsfjorden;Liparis fabricii;I;Animalia;Chordata;Actinopterygii;Scorpaeniformes;Liparidae;Liparis;50;"predator";"ectotherm vertebrate";3.61;"omnivorous";4;"benthic";3;150;39;1;5;1;0;0;25;1;0;10;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3
kongsfjorden;Tonicella marmorea;I;Animalia;Mollusca;Polyplacophora;Neoloricata;Ischnochitonidae;Tonicella;0.22;"grazer";"invertebrate";2;"omnivorous";2;"benthic";171;52;0;3;14;0;0;0;534;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;19
kongsfjorden;Diastylis goodsiri;I;Animalia;Arthropoda;Malacostraca;Cumacea;Diastylidae;Diastylis;0.01;"grazer";"invertebrate";2;"detrivorous";3;"benthic";1;107;0;8;2;1;0;0;266;6;0;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2
kongsfjorden;Hiatella arctica;I;Animalia;Mollusca;Bivalvia;Myoida;Hiatellidae;Hiatella;0.05;"suspension-feeder";"invertebrate";2;"herbivorous/detrivorous";1;"benthic";1;27;0;6;2;0;0;0;226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
kongsfjorden;Pholoe assimilis;I;Animalia;Annelida;Polychaeta;Aciculata;Pholoidae;Pholoe;0.01;"grazer";"invertebrate";2;"detrivorous";2;"benthic";1;209;0;24;8;0;0;0;268;16;0;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;2
kongsfjorden;Pandalus borealis;I;Animalia;Arthropoda;Malacostraca;Decapoda;Pandalidae;Pandalus;NULL;NULL;NULL;NULL;NULL;NULL;NULL;7;244;30;15;98;2;0;0;244;50;14;0;39;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;7
kongsfjorden;Sterna paradisaea;T;Animalia;Chordata;Aves;Ciconiiformes;Laridae;Sterna;40.8;"predator";"endotherm vertebrate";3.8;"carnivorous";4;"land-based/pelagic";15;0;108;0;0;0;0;0;74;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;8
kongsfjorden;Pseudocalanus;I;Animalia;Arthropoda;Maxillopoda;Calanoida;Clausocalanidae;Pseudocalanus;0.09;"predator";"invertebrate";2;"omnivorous";4;"pelagic";0;111;0;51;2;3;0;0;163;14;0;5;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1
kongsfjorden;Semibalanus balanoides;I;Animalia;Arthropoda;Maxillopoda;Sessilia;Archaeobalanidae;Semibalanus;0.03;"suspension-feeder";"invertebrate";2;"herbivorous/detrivorous";1;"benthic";3;41;0;6;4;0;0;0;330;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3
kongsfjorden;Microcalanus pusillus;I;Animalia;Arthropoda;Maxillopoda;Calanoida;Clausocalanidae;Microcalanus;6.96E-005;"predator";"invertebrate";2;"omnivorous";4;"pelagic";36;75;0;39;42;3;0;0;256;8;0;12;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;9
kongsfjorden;Musculus discors;I;Animalia;Mollusca;Bivalvia;Mytiloida;Mytilidae;Musculus;0.42;"suspension-feeder";"invertebrate";2;"herbivorous/detrivorous";1;"benthic";1;34;0;7;4;0;0;0;226;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
kongsfjorden;Scoletoma fragilis;I;Animalia;Annelida;Polychaeta;Aciculata;Lumbrineridae;Lumbrineris;0.03;"grazer";"invertebrate";2;"detrivorous";2;"benthic";1;131;0;13;4;0;0;0;272;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2
kongsfjorden;Trophon clathratus;T;Animalia;Mollusca;Gastropoda;Neogastropoda;Muricidae;Trophon;0.07;"grazer";"invertebrate";2;"detrivorous";2;"benthic";153;0;0;0;0;0;0;0;371;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18
kongsfjorden;Cossura longocirrata;I;Animalia;Annelida;Polychaeta;Cossuridae;Cossura;NA;0.05;"grazer";"invertebrate";2;"detrivorous";2;"benthic";1;131;0;13;4;0;0;0;272;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2
