,Phaeocystis pouchetii,Chaetoceros socialis,Thalassiosira nordenskioeldii,Fragilariopsis,Protoperidinium,Gymnodinium,Dinobryon balticum,Thalassiosira antarctica,Cylindrotheca closterium,Chaetoceros,Coccolithus pleagicus,Globoquadriana pachyderma,Globigerinita bradyi,Globigerina quinqueloba,Nitzschia frigida,Pleurosigma stuxbergii,Cylindrotheca closterium,Navicula pelagica,Entomoneis,Cocconeis,Dinophysis acuta,Gyrodinium,Protoperidinium,Calanus finnmarchicus,Onacea borealis ,Bradyidius similis,Microcalanus pusillus,Copepoda nauplii,Metridia longa,Metridia lucens,Calanus glacialis,Calanus hyperboreus,Pseudocalanus,Oithona similis,Fritillaria,Clione limacina,Limacina helicina,Gaidius tenuispinus,Bradyidius similis,Xanthocalanus,Thysanoessa raschii,Thysanoessa longicaudata,Thysanoessa inermis,Themisto libellula,Themisto abyssorum,Boremysis arctica,Neoscolecithrix farrani,Mertensia ovum,Beroe cucumis,Meganyctiphanes norvegica,Boreomysis arctica,Fucus distichus,Pylaiella littoralis,Chordaria flagelliformis,Acrosiphonia,Alaria esculenta,Laminaria saccharina,Laminaria digitata,Saccorhiza dermatodea,Laminaria solidungula,Phycodrys rubens,Ptilta gunneri,Fimbrifolium dichotomum,Desmarestia aculeata,Palmaria palmata,Devaleraea ramentacea,Turnerella pennyi,Desmarestia viridis,Balanus balanus,Semibalanus balanoides,Littorina saxatilis ,Ischyroceros,Gammarus setosus,Gammarellus homari,Onisimus littoralis,Anonyx nugax,Anonyx sarsi,Arrhis phyllonyx,Brachydiastylis resima,Caprella septentrionalis,Corophium crassicorne,Diastylis goodsiri,Diastylis lucifera,Diastylis rathkii,Eryhtrops erythropthalma,Eualus gaimardi,Gammarus setosus,Halirages fulvocinctus,Hyas araneus,Ischyrocerus anguipes,Janira,Lamprops fuscatus,Lebbeus polaris,Melita dentata,Melita formosa,Melita palmata,Monoculodes borealis,Monoculodes longirostris,Munna,Munnopsis,Mysis oculata,Onisimus caricus,Onisimus edwardsi,Orchomenella minuta,Pagurus pubescens,Pandalus borealis,Parapleustes assimilis,Parapleustes bicuspis,Parapleustes monocuspis,Paroediceros lynceus,Pleustes panoplus,Pleusymtes glabroides,Pontoporeia femorata,Rhachotropis inflata,Spirontocaris spinus,Spirontocaris turgida,Stilomysis grandis,Syrrhoe crenulata,Tanaidacea,Unciola leucopis,Weyprechtia pinguis,Haliclona,Aglaophamus malmgreni,Ampharete finmarchica,Brada inhabilis,Brada villosa,Bylgides elegans,Bylgides groenlandica,Capitella capitata,Chaetozone,Chone,Circeis,Cossura longocirrata,Diplocirrus hirsutus,Eteone,Euchone,Gattyana cirrhosa,Glycera capitata,Harmothoe imbricata,Heteromastus filiformis,Leitoscoloplos mammosus,Levinsenia gracilis,Lumbrineris,Lysippe labiata,Nephtys ciliata,Nereimyra punctata,Nereis zonata,Pholoe assimilis,Phyllodoce,Polydora,Prionospio cirrifera,Sabellides octocirrata,Samytha sexcirrata,Scoletoma fragilis,Scoloplos armiger,Spio,Terebellides stroemi,Thelepus cincinnatus,Halicryptus spinulosus,Priapulus caudatus,Sipunculida,Pycnogonida,Chaetoderma,Tonicella marmorea,Tonicella rubra,Boreocingula castanea,Boreotrophon truncatus,Buccinum scalariforme,Buccinum terranovae,Buccinum undatum,Cylichna cf. alba,Cylichna cf. oculata,Elachisina globuloides,Erginus rubellus,Euspira pallida,Frigidoalvania cruenta,Lepeta caeca,Margarites groenlandicus,Margarites helicinus,Menestho albula,Menestho truncatula,Oenopota impressa,Philine,Puncturella noachina,Retusa obtusata,Solariella varicosa,Trophon clathratus,Arctinula groenlandica,Astarte borealis,Astarte montagui,Axinopsida orbiculata,Boreacola maltzani,Ciliatocardium ciliatum,Diplodonta torelli,Ennucula tenuis,Hiatella arctica,Liocyma fluctuosa,Lyonsia arenosa,Macoma calcarea,Macoma moesta,Musculus corrugatus,Musculus discors,Mya truncata,Nuculana minuta,Nuculana pernula,Pandora glacialis,Serripes groenlandicus,Thracia myopsis,Thyasira dunbari,Thyasira gouldi,Yoldia hyperborea,Yoldiella frigida,Yoldiella lenticula,Yoldiella solidula,Ophiocten sericeum,Ophiopholis aculeata,Ophiura robusta,Strongylocentrotus pallidus,Strongylocentrotus droebachiensis,Crossaster papposus,Henricia,Styela rustica,Halocynthia pyriformis,Urticina eques,Hormathia nodosa,Pandalus borealis,Sabinea septemcarinata,Lebbeus polaris,Sclerocrangon boreas,Spirontocaris spinus,Boreogadus saida,Gadus morhua,Reinhardtius hipoglossoides,Hipoglossoides platessoides,Lycodes,Sebastes mentella,Liparis liparis,Anisarchus medius,Lumpenus lampretaeformis,Leptagonus decagonus,Leptoclinus maculatus,Liparis fabricii,Artediellus europeus,Careproctus reinhardti,Sebastes marinus,Mallotus villosus,Eumicotremus derjugini,Raja clavata,Myoxocephalus scorpius,Liparis liparis,Anarhichas lupus,Gymnocanthus tricuspis,Pusa hispida,Erignathus barbatus,Phoca vitulina,Odobenus rosmarus,Dephinapterus leucas,Balaenoptera acutorostrata,Calidris maritima,Somateria mollissima,Alle alle,Cepphus grylle,Fulmarus glacialis,Rissa tridactyla,Larus hyperboreus,Sterna paradisaea,Ursus maritimus,POM,Phytodetritus,Sediment
Phaeocystis pouchetii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaetoceros socialis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thalassiosira nordenskioeldii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fragilariopsis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Protoperidinium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gymnodinium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinobryon balticum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thalassiosira antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cylindrotheca closterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaetoceros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
